houseid,property_type,beds,baths,sqft,lot_size,year_built,zipcode,latitude,longitude,list_price
3395,Single Family Residential,3.0,2.0,1296.0,6240.0,1976.0,77498,29.6708444,-95.6249929,239500
3396,Single Family Residential,3.0,3.0,2700.0,5000.0,2020.0,77011,29.748627,-95.3235806,549900
3399,Single Family Residential,4.0,2.5,2658.0,9086.0,1976.0,77450,29.7775711,-95.722393,379900
3401,Single Family Residential,3.0,2.5,2131.0,5914.0,2006.0,77060,29.9581794,-95.3892153,244900
3404,Single Family Residential,3.0,2.5,1767.0,2500.0,2022.0,77020,29.7813239,-95.3197741,389999
3406,Single Family Residential,4.0,3.5,3223.0,9576.0,2002.0,77082,29.7241455,-95.588277,790000
3408,Single Family Residential,3.0,4.5,2982.0,1619.0,2016.0,77019,29.7550445,-95.3873909,660000
3410,Single Family Residential,3.0,2.5,1525.0,1725.0,2022.0,77091,29.8466562,-95.4474676,334888
3411,Single Family Residential,3.0,2.5,1564.0,1676.0,2022.0,77022,29.8342482,-95.3720658,314888
3412,Single Family Residential,3.0,2.5,1564.0,1680.0,2022.0,77022,29.8343218,-95.372159,319888
3413,Single Family Residential,3.0,2.5,1564.0,1680.0,2022.0,77022,29.8343218,-95.372159,319888
3415,Single Family Residential,3.0,2.5,1564.0,1676.0,2022.0,77022,29.8342482,-95.3720658,314888
3417,Single Family Residential,3.0,2.0,1614.0,7200.0,1951.0,77055,29.8014273,-95.4747297,429900
3422,Single Family Residential,4.0,2.5,2504.0,5250.0,2006.0,77338,30.0302142,-95.3756752,288500
3423,Single Family Residential,4.0,2.5,2274.0,4800.0,2018.0,77493,29.8298991,-95.7803746,339990
3424,Single Family Residential,4.0,3.0,3137.0,7854.0,2012.0,77079,29.7775985,-95.5909063,865000
3426,Single Family Residential,4.0,2.0,1667.0,6840.0,1961.0,77016,29.8587621,-95.3043083,245000
3427,Single Family Residential,4.0,2.5,2504.0,10710.0,1969.0,77008,29.8044198,-95.4442446,799900
3429,Single Family Residential,3.0,2.0,1723.0,6600.0,1979.0,77084,29.8760733,-95.673303,248700
3430,Single Family Residential,6.0,3.5,4160.0,7910.0,2008.0,77024,29.777768,-95.5504969,1899998
3432,Single Family Residential,5.0,4.5,3290.0,11430.0,1955.0,77024,29.7784711,-95.5329806,1299000
3433,Single Family Residential,4.0,2.5,1752.0,3468.0,2022.0,77091,29.85219,-95.429546,354900
3434,Single Family Residential,3.0,2.5,2262.0,7800.0,1975.0,77077,29.7535603,-95.5866933,369000
3435,Single Family Residential,3.0,2.5,1948.0,3519.0,2022.0,77091,29.85219,-95.429546,369900
3438,Single Family Residential,3.0,3.5,3228.0,2500.0,2012.0,77006,29.7492071,-95.400306,835000
3441,Single Family Residential,4.0,5.5,4734.0,7623.0,1987.0,77056,29.7646628,-95.4717079,899000
3442,Single Family Residential,3.0,3.5,2164.0,1911.0,2017.0,77008,29.8029508,-95.4212979,425000
3444,Single Family Residential,3.0,1.0,1082.0,2100.0,1944.0,77026,29.7779077,-95.3426947,139900
3445,Single Family Residential,4.0,3.5,2683.0,6923.0,2014.0,77377,30.0193908,-95.5994981,396000
3446,Single Family Residential,3.0,2.0,1632.0,12000.0,1968.0,77072,29.6857747,-95.5761863,194000
3447,Single Family Residential,4.0,4.5,4245.0,7921.0,2022.0,77018,29.8385671,-95.4431186,1390000
3448,Single Family Residential,3.0,2.0,1777.0,7380.0,2006.0,77449,29.8473916,-95.7064363,310000
3450,Single Family Residential,4.0,3.5,2848.0,,2022.0,77084,29.8433718,-95.6916808,473387
